2026-04-14 18:31:58,482 | WARNING | loader | Falha ao inserir extra 'qtd_anexos' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:58,712 | WARNING | loader | Falha ao inserir extra 'programa_identificado' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:58,932 | WARNING | loader | Falha ao inserir extra 'tipo_recurso' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:59,730 | WARNING | loader | Falha ao inserir anexo do edital 689: {'message': "Could not find the table 'public.edital_anexo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:59,954 | WARNING | loader | Falha ao inserir anexo do edital 689: {'message': "Could not find the table 'public.edital_anexo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:00,222 | WARNING | loader | Falha ao inserir anexo do edital 689: {'message': "Could not find the table 'public.edital_anexo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:00,538 | WARNING | loader | Falha ao inserir extra 'url_pagina' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:00,795 | WARNING | loader | Falha ao inserir extra 'url_chamada' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:01,021 | WARNING | loader | Falha ao inserir extra 'publicado_em' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:01,281 | WARNING | loader | Falha ao inserir extra 'atualizado_em' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:01,524 | WARNING | loader | Falha ao inserir extra 'inscricoes_inicio' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:01,780 | WARNING | loader | Falha ao inserir extra 'inscricoes_fim' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:02,002 | WARNING | loader | Falha ao inserir extra 'situacao' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:02,227 | WARNING | loader | Falha ao inserir extra 'qtd_anexos' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:02,438 | WARNING | loader | Falha ao inserir extra 'programa_identificado' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:02,659 | WARNING | loader | Falha ao inserir extra 'tipo_recurso' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:03,389 | WARNING | loader | Falha ao inserir anexo do edital 689: {'message': "Could not find the table 'public.edital_anexo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:03,615 | WARNING | loader | Falha ao inserir anexo do edital 689: {'message': "Could not find the table 'public.edital_anexo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:03,848 | WARNING | loader | Falha ao inserir extra 'url_pagina' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:04,075 | WARNING | loader | Falha ao inserir extra 'url_chamada' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:04,281 | WARNING | loader | Falha ao inserir extra 'publicado_em' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:04,506 | WARNING | loader | Falha ao inserir extra 'atualizado_em' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:04,717 | WARNING | loader | Falha ao inserir extra 'inscricoes_inicio' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:04,927 | WARNING | loader | Falha ao inserir extra 'inscricoes_fim' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:05,161 | WARNING | loader | Falha ao inserir extra 'situacao' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:05,380 | WARNING | loader | Falha ao inserir extra 'qtd_anexos' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:05,639 | WARNING | loader | Falha ao inserir extra 'tipo_recurso' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:06,349 | WARNING | loader | Falha ao inserir anexo do edital 689: {'message': "Could not find the table 'public.edital_anexo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:06,579 | WARNING | loader | Falha ao inserir extra 'url_pagina' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:06,807 | WARNING | loader | Falha ao inserir extra 'url_chamada' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:07,021 | WARNING | loader | Falha ao inserir extra 'publicado_em' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:07,233 | WARNING | loader | Falha ao inserir extra 'atualizado_em' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:07,440 | WARNING | loader | Falha ao inserir extra 'inscricoes_inicio' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:07,652 | WARNING | loader | Falha ao inserir extra 'inscricoes_fim' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:07,861 | WARNING | loader | Falha ao inserir extra 'situacao' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:08,067 | WARNING | loader | Falha ao inserir extra 'qtd_anexos' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:08,311 | WARNING | loader | Falha ao inserir extra 'programa_identificado' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:08,537 | WARNING | loader | Falha ao inserir extra 'tipo_recurso' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:09,208 | WARNING | loader | Falha ao inserir anexo do edital 689: {'message': "Could not find the table 'public.edital_anexo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:32:09,413 | WARNING | loader | Falha ao inserir anexo do edital 689: {'message': "Could not find the table 'public.edital_anexo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
